pertanyaan,jawaban,label
Apa itu Gangguan Cyclothymic?,"Gangguan siklotmik adalah subtipe gangguan bipolar. Sama seperti gangguan bipolar, gejala siklotmia termasuk tiga atau lebih gejala hipomania, dan lima atau lebih gejala depresi. Seperti gangguan bipolar, orang mungkin mengalami kesehatan antara episode hipomania dan depresi. Bicaralah dengan dokter atau profesional kesehatan mental jika Anda pikir Anda mungkin mengalami gangguan siklotymic.",1
Apa arti rapid cycling?,"Rapid cycling berarti bahwa seseorang yang didiagnosis dengan gangguan bipolar (atau depresi) mengalami empat atau lebih episode depresi dan/atau mania dalam satu tahun. 
Rapid cycling dapat terjadi kapan saja seseorang mengalami gangguan bipolar-sekitar 10-20% orang yang didiagnosis dengan gangguan bipolar mengalami siklus cepat di beberapa titik. Dalam banyak kasus, rapid cycling akhirnya hilang dengan sendirinya dan orang -orang kembali ke pola episode yang lebih lama dan lebih jarang.",1
Di mana saya dapat menemukan informasi dan bantuan untuk gangguan kepribadian batas?,"Gangguan Kepribadian Borderline atau BPD adalah penyakit yang dapat diobati. Itu terdiri dari lima kelompok gejala di sekitar perilaku, emosi, hubungan, rasa identitas, dan kesadaran. Anda dapat membaca lembar info kami tentang gangguan kepribadian batas. Kami juga memiliki seluruh jurnal Visions tentang BPD, di mana Anda akan menemukan informasi tentang perawatan dan dukungan dan kisah -kisah pribadi dari orang -orang yang mengelola BPD dan hidup dengan baik. 
Borderline Personality Disorder Society of BC menawarkan kelompok pendukung di Victoria dan perpustakaan sumber daya, dan mereka memiliki daftar layanan di BC. 
Di Vancouver, DBT Center of Vancouver menawarkan AD terapi perilaku dialektis (DBT) berspesialisasi dalam membantu orang yang mengalami BPD. Konseling penawaran individu, kelompok, dan keluarga, dan mereka memiliki blog yang berguna tentang keterampilan DBT. 
Ada beberapa buku bagus dan bermanfaat yang tersedia sekarang, termasuk:",1
Apa itu Gangguan Kepribadian Schizoid?,"Gangguan kepribadian adalah pola pikiran, perasaan, dan perilaku yang bertahan lama dan menyebabkan semacam masalah atau kesusahan.
Gangguan kepribadian skizoid atau SPD mempengaruhi interaksi dan hubungan sosial. Orang dengan SPD mungkin mengalami kesulitan berhubungan dengan orang lain dan menunjukkan emosi. Mereka dapat menghindari hubungan yang erat dan lebih suka menghabiskan waktu sendirian, tampak jauh bahkan untuk anggota keluarga dekat. Banyak orang tidak menanggapi emosi yang kuat seperti kemarahan, bahkan ketika orang lain mencoba memprovokasi mereka. Di luar, orang dengan SPD mungkin tampak dingin atau menyendiri, menunjukkan sedikit emosi.
Meskipun mereka memiliki nama yang sama, gangguan kepribadian skizoid tidak sama dengan skizofrenia.
Gangguan Kepribadian Schizoid diyakini relatif tidak umum. Sementara beberapa orang dengan SPD mungkin melihatnya sebagai bagian dari siapa mereka, orang lain mungkin merasakan banyak kesusahan, terutama di sekitar interaksi sosial. Beberapa obat dapat membantu orang mengelola gejala dan psikoterapi dapat membantu orang membangun keterampilan baru dan meningkatkan hubungan.
Untuk mencari bantuan untuk gangguan kepribadian skizoid, bicaralah dengan dokter keluarga Anda atau cari psikolog.",1
Apa itu gangguan kepribadian antisosial?,"Gangguan kepribadian adalah pola pikiran, perasaan, dan perilaku yang bertahan lama dan menyebabkan semacam masalah atau kesusahan.
Gangguan kepribadian antisosial atau ASPD mempengaruhi cara orang berpikir tentang hak orang lain. Seseorang dengan ASPD dapat mengabaikan undang -undang atau harapan, tidak memiliki penyesalan ketika mereka menyakiti orang lain atau melanggar hukum, membuat keputusan yang ceroboh, dan percaya bahwa mereka lebih unggul dari orang lain. Orang mungkin melihat seseorang dengan ASPD sebagai terlalu dramatis, impulsif, manipulatif, dan menipu. Beberapa orang mungkin tampak menawan, setidaknya di permukaan. Seperti semua penyakit mental, gangguan kepribadian antisosial adalah spektrum. Beberapa orang hanya mungkin sesekali bertindak, sementara yang lain sering melanggar hukum dan menghabiskan banyak waktu dalam sistem peradilan pidana.
ASPD hanya didiagnosis pada orang dewasa, tetapi orang dengan ASPD mulai memiliki masalah dengan perilaku atau perilaku antisosial pada usia muda. Mereka mungkin didiagnosis dengan gangguan perilaku selama masa kanak -kanak.
Pengobatan untuk gangguan kepribadian antisosial, biasanya psikoterapi, dapat membantu mengurangi bahaya ASPD dan membantu orang membangun empati terhadap orang lain. ASPD dapat diobati dan dapat membaik ketika seseorang mendekati usia paruh baya.
Kita semua telah menyakiti orang lain atau bertindak tanpa memikirkan orang lain yang dibutuhkan. Penting untuk diingat bahwa gangguan kepribadian antisosial adalah pola abadi di sekitar kurangnya empati dan kurangnya penyesalan. Hanya seorang dokter atau profesional kesehatan mental yang dapat mendiagnosis penyakit seperti ASPD.
Untuk mencari bantuan untuk gangguan kepribadian antisosial, bicaralah dengan dokter keluarga Anda atau temukan psikolog.",1
Apa itu gangguan kepribadian obsesif-kompulsif?,"Gangguan kepribadian adalah pola pikiran, perasaan, dan perilaku yang berlangsung untuk waktu yang lama dan menyebabkan semacam masalah atau kesusahan. 
Gangguan kepribadian obsesif-kompulsif atau OCPD adalah tentang kontrol. Orang dengan OCPD memiliki pemikiran yang sangat tidak fleksibel dan mengharapkan semuanya untuk dipesan, sempurna, dan melakukan cara ""benar"" mereka. Ini terjadi dengan mengorbankan hal-hal penting lainnya dalam hidup, termasuk hubungan dengan orang lain. Pekerjaan dapat diprioritaskan di atas setiap bagian lain dari kehidupan, juga, dan orang-orang dengan OCPD mungkin tampak terlalu berdedikasi, tetapi mungkin tidak dapat menyelesaikan tugas karena perfeksionisme. Mereka mungkin berjuang untuk mendelegasikan dan mungkin tidak mempercayai kontribusi orang lain. Orang dengan OCPD mungkin tidak mentolerir ketidakpastian dan mungkin memiliki pemahaman yang sangat kaku tentang dunia - sesuatu yang benar atau salah. Mereka mungkin juga mengalami kesulitan menghabiskan uang untuk diri mereka sendiri atau orang lain, dan mereka mungkin mengalami penimbunan, ketidakmampuan untuk membuang barang-barang dari rumah mereka. Konflik antara keinginan untuk kerapian atau ketertiban dan ketidakmampuan untuk membuang barang-barang dapat menyebabkan banyak kecemasan. 
Sementara gangguan kepribadian obsesif-kompulsif dan gangguan obsesif-kompulsif (OCD) memiliki nama yang sama, mereka bukan penyakit yang sama. Orang dengan gangguan obsesif-kompulsif biasanya memahami bahwa obsesi dan paksaan mereka tidak logis dan biasanya mengalami banyak kesusahan, meskipun mereka mungkin tidak dapat menghentikan obsesi atau paksaan. Kompulsi adalah upaya untuk mengurangi kecemasan, bukan untuk menemukan kesenangan. Orang dengan gangguan kepribadian obsesif-kompulsif dapat melihat pikiran mereka sebagai bagian dari siapa mereka, melihat pikiran mereka sebagai logis, dan mungkin menemukan kesenangan atau manfaat dalam menyelesaikan tugas-tugas kompulsif. Mereka mungkin mengalami banyak kesusahan ketika mereka tidak dapat mencapai kontrol atau perfeksionisme yang mereka inginkan. 
Gangguan kepribadian obsesif-kompulsif adalah salah satu gangguan kepribadian yang paling umum. Pengobatan mungkin termasuk beberapa kombinasi psikoterapi, obat-obatan, dan strategi self-help. Untuk mencari bantuan untuk OCPD, berbicara dengan dokter keluarga Anda atau menemukan seorang psikolog.",1
Apa perbedaan antara gangguan identitas disosiatif (gangguan kepribadian ganda) dan skizofrenia?,"Terkadang, orang membingungkan gangguan identitas disosiatif, yang sebelumnya dikenal sebagai gangguan kepribadian ganda, dan skizofrenia. Skizofrenia memang berarti ""pikiran terpisah,"" tetapi namanya dimaksudkan untuk menggambarkan 'split' dari kenyataan yang Anda alami selama episode psikosis, serta perubahan dalam pikiran, emosi, dan fungsi lainnya. Gangguan identitas disosiatif, di sisi lain, menyebabkan pemahaman yang terpisah atau terfragmentasi tentang perasaan seseorang tentang diri mereka sendiri.
Gangguan identitas disosiatif sebenarnya lebih tentang identitas yang terfragmentasi daripada banyak kepribadian berbeda yang berkembang sendiri. Kebanyakan orang melihat berbagai bagian dari keberadaan mereka sebagai bagian dari seluruh orang. Bagi orang yang mengalami, fragmen identitas mungkin memiliki karakteristik yang sangat berbeda, termasuk sejarah, identitas, dan tingkah laku mereka sendiri. Bagian penting dari DID adalah disosiasi - feeling terpisah ke dunia di sekitar Anda. Orang -orang yang mengalami mungkin memiliki banyak celah yang tidak dapat dijelaskan dalam ingatan mereka, melupakan informasi yang sudah mereka pelajari, atau mengalami kesulitan mengingat hal -hal yang telah mereka katakan atau lakukan. Tidak seperti penggambaran DO di TV atau di film, memang mungkin tidak jelas bagi orang lain, dan bisa membutuhkan banyak waktu untuk datang ke diagnosis.
Skizofrenia adalah penyakit mental yang serius yang menyebabkan halusinasi (sensasi yang tidak nyata) dan delusi (keyakinan yang tidak mungkin benar, selain gejala lain seperti pikiran yang campur aduk, ucapan yang campur aduk, dan kesulitan yang mengekspresikan emosi. Orang yang mengalami skizofrenia Mungkin mendengar atau merasakan hal -hal yang tidak nyata atau percaya hal -hal yang tidak bisa nyata, tetapi ini bukan identitas yang terpisah.",1
Apa perbedaan antara psikosis dan skizofrenia?,"Psikosis adalah sindrom atau kelompok gejala. Seseorang yang mengalami episode psikosis mengalami 'istirahat' dengan kenyataan. Gejala utama psikosis adalah halusinasi dan delusi. Halusinasi adalah sensasi yang tidak nyata, seperti mendengar suara atau suara yang tidak nyata. Mendengar suara adalah halusinasi yang umum, tetapi halusinasi dapat menjadi pengalaman dengan perasaan apa pun - mendengar, penglihatan, bau, rasa, atau sentuhan. Delusi adalah keyakinan kuat yang tidak mungkin benar. Delusi umum termasuk keyakinan bahwa seseorang mengikuti atau memantau Anda, atau keyakinan bahwa Anda memiliki kekuatan atau kemampuan yang luar biasa. Gejala psikosis lainnya termasuk kesulitan berkonsentrasi, menyelesaikan tugas, atau membuat keputusan. Pikiran mungkin terasa 'campur aduk' atau bingung. Beberapa orang kesulitan mengikuti percakapan atau berbicara dengan jelas. Psikosis bahkan dapat mempengaruhi cara orang bergerak atau mengekspresikan emosi mereka.
Skizofrenia adalah penyakit mental yang menyebabkan psikosis, tetapi skizofrenia juga memiliki gejala lain. Dan itu bukan satu -satunya penyebab psikosis. Dalam beberapa kasus, penyakit mental lainnya menyebabkan psikosis, termasuk depresi, gangguan bipolar, demensia dan gangguan kepribadian batas. Psikosis mungkin muncul selama masa stres ekstrem, kurang tidur, atau trauma. Orang yang menggunakan atau menarik diri dari obat atau obat -obatan tertentu dapat mengalami psikosis. Psikosis juga dapat disebabkan oleh cedera otak, masalah neurologis, atau masalah kesehatan lainnya. Jadi sementara psikosis bisa menjadi bagian dari skizofrenia, itu bisa disebabkan oleh banyak hal lain juga.
Psikosis dan skizofrenia dapat diobati. Penting untuk mencari bantuan sesegera mungkin.",1
Apa gejala positif dan negatif?,"Gejala positif dan negatif adalah istilah medis untuk dua kelompok gejala pada skizofrenia. Gejala positif termasuk halusinasi (sensasi yang tidak nyata), delusi (keyakinan yang tidak bisa nyata), dan gerakan berulang yang sulit dikendalikan. Gejala negatif termasuk ketidakmampuan untuk menunjukkan emosi, apatis, kesulitan berbicara, dan menarik diri dari situasi sosial dan hubungan. Ada juga kelompok gejala ketiga, biasanya disebut gejala kognitif. Ini termasuk apa pun yang berkaitan dengan pemikiran, seperti pikiran yang tidak teratur, masalah ingatan, dan kesulitan dengan fokus dan perhatian.",1
Apa itu prodrome?,"Prodrome adalah istilah medis untuk tanda -tanda awal atau gejala masalah penyakit atau kesehatan yang muncul sebelum tanda -tanda utama atau gejala dimulai. 
Psikosis, sekelompok gejala yang ditemukan dalam gangguan seperti skizofrenia, adalah satu penyakit dengan prodrome tertentu. Dengan psikosis, tanda -tanda prodrome dan gejala dimulai sebelum gejala penuh seperti halusinasi dan delusi muncul. 
Gejala umum dalam prodrom psikosis meliputi: 
Gejala -gejala ini ditemukan pada banyak penyakit mental lainnya, jadi tidak selalu jelas pada saat itu jika ini adalah prodrom psikosis atau skizofrenia atau yang lainnya. Yang terbaik adalah mencari bantuan setiap kali Anda khawatir tentang kesehatan mental Anda atau kesehatan mental orang yang dicintai. Psikosis dan skizofrenia jauh lebih mudah untuk dikelola dan diobati ketika pengobatan dimulai sejak dini.",1
Saya sudah dewasa dan saya pikir saya mungkin memiliki ADHD. Apa yang bisa saya lakukan selanjutnya?,"Sementara kita menganggap gangguan perhatian/hiperaktif sebagai penyakit yang mempengaruhi anak-anak, itu bisa bertahan hingga dewasa-dan beberapa orang tidak didiagnosis sampai di kemudian hari.
ADHD didiagnosis seperti penyakit mental lainnya, jadi dokter keluarga Anda adalah tempat yang baik untuk memulai. Dokter keluarga Anda mungkin dapat menilai kesehatan mental Anda dan memulai perawatan, jika diperlukan, atau mereka dapat merujuk Anda ke layanan kesehatan mental yang lebih khusus.
Ada beberapa organisasi yang dapat membantu Anda menemukan sumber daya yang baik dan menemukan beberapa dukungan:
Canadian Attention Deficit Hyperactivity Disorder Resource Alliance (CADDRA) adalah organisasi yang mendukung profesional kesehatan yang meneliti ADHD, memperlakukan dan mendukung orang yang didiagnosis dengan ADHD, dan melatih profesional. Di bagian ‘Info Publik’ di situs web mereka, Anda akan menemukan informasi lebih lanjut tentang ADHD dewasa dan proses penilaian. Anda juga akan menemukan sumber daya yang luas dan publikasi yang direkomendasikan.
Pusat Kesadaran ADHD, Kanada menyediakan pendidikan dan advokasi untuk orang Kanada yang mengalami ADHD. Mereka memiliki bagian di situs web mereka untuk orang dewasa, termasuk informasi tentang gejala dan penilaian, perawatan, ADHD di tempat kerja, sumber daya, dan daftar bacaan.
Chadd Vancouver menawarkan kelompok dukungan bulanan untuk orang dewasa di daerah Vancouver.",1
Apa perbedaan antara penggunaan narkoba dan kecanduan?,"Orang cenderung menggunakan kata ""addiction"" untuk berarti hal yang sangat berbeda. ""Saya kecanduan belanja mungkin hanya berarti bahwa pembicara suka berbelanja. Di sisi lain, ""Dia kecanduan"" mungkin berarti pembicara berpikir orang lain benar-benar tidak dapat mengendalikan perilakunya sendiri. Ketika orang menggunakan kata tentang psikoaktif (mengubah pikiran) zat seperti alkohol, tembakau, atau obat-obatan lain, mereka sering menganggap obat ini berbahaya dan memiliki kekuatan untuk mengendalikan perilaku manusia. 
Bukti, bagaimanapun, menunjukkan gambaran yang sangat berbeda. Sementara penggunaan zat dapat dengan jelas berkontribusi pada masalah kesehatan dan sosial, zat dapat bermanfaat bagi sebagian orang dalam beberapa situasi. Banyak orang merayakan acara khusus dengan segelas anggur yang enak, misalnya. Beberapa orang menggunakan tembakau sebagai simbol yang kuat dalam upacara budaya dan spiritual. Faktanya, zat telah digunakan oleh manusia sepanjang sejarah karena berbagai alasan: untuk merasa baik, merasa lebih baik, untuk meningkatkan kinerja, untuk alasan budaya / spiritual, dan untuk memiliki pengalaman baru. 
Penggunaan zat lebih rumit daripada hanya ""baik"" atau ""baik"" atau ""baik"" atau ""bad"", sangat membantu untuk memikirkan penggunaan zat sepanjang kontinum, dari penggunaan yang bermanfaat hingga penggunaan yang berbahaya. Di sepanjang tengah kontinum, penggunaan zat mungkin bermanfaat dan berbahaya. Anda memiliki malam yang menyenangkan dengan teman-teman, tetapi merasa sedikit sakit keesokan harinya. Di ujung kontinum, beberapa orang mengembangkan ketergantungan - mereka perlu terus menggunakan obat untuk merasa normal dan akan terus menggunakan bahkan ketika itu mengarah pada kesulitan keuangan, masalah di rumah atau di tempat kerja, masalah kesehatan, atau masalah hukum. 
Secara umum, penggunaan zat adalah masalah ketika menyebabkan masalah bagi Anda atau orang lain - dan berapa banyak penggunaan menyebabkan masalah akan berbeda untuk orang yang berbeda dalam situasi yang berbeda. Alasan seseorang menggunakan zat mempengaruhi risiko mengembangkan masalah. Misalnya, jika seseorang menggunakan zat untuk bersenang-senang, hanya penggunaan sosial sesekali yang dapat mengikuti. Tetapi ketika seseorang menggunakan zat untuk mengatasi masalah jangka panjang seperti kecemasan sosial, maka penggunaan yang lebih tahan lama dan intens dapat mengikuti. Mengelola risiko kita melibatkan kesadaran mengapa kita menggunakan dan apa dampak penggunaan kita terhadap diri kita sendiri dan orang-orang di sekitar kita. Kebijaksanaan nenek moyang kita menunjukkan prinsip panduan - tidak terlalu banyak, tidak terlalu sering, dan hanya dalam konteks yang aman.",10
Bagaimana saya bisa menemukan bantuan untuk masalah penggunaan alkohol atau narkoba?,"Ingin membuat perubahan dalam cara Anda menggunakan zat seperti alkohol atau obat lain? Ini bisa menjadi langkah penting!
Beberapa orang dapat mengurangi penggunaan narkoba mereka atau berhenti sama sekali sendiri atau dengan bahan hormat mandiri. Tetapi kebanyakan dari kita membutuhkan dukungan dari orang lain - anggota keluarga, teman, profesional kesehatan, atau orang lain yang berjuang dengan masalah penggunaan narkoba. Bantuan yang tepat untuk Anda tergantung pada banyak faktor. Ini termasuk jenis obat yang Anda gunakan, seberapa banyak dan seberapa sering, situasi kesehatan dan sosial Anda dan, tentu saja, preferensi Anda sendiri. Mendapatkan bantuan tidak berarti menyerah kendali membentuk jalan Anda sendiri. Anda masih orang yang membuat keputusan akhir tentang jenis dan tingkat perubahan yang Anda buat.
Salah satu cara untuk mendapatkan bantuan adalah dengan berbicara dengan dokter yang Anda percayai dan merasa nyaman untuk diceritakan. Jika Anda tidak nyaman berbicara secara langsung, Anda juga bisa mendapatkan nasihat dari perawat terdaftar (bersama dengan saran tentang program atau layanan di daerah Anda) Dengan menelepon HealthLink BC di 8-1-1. Karena beberapa obat ilegal, banyak orang khawatir tentang apa yang mungkin terjadi jika mereka berbicara tentang penggunaan narkoba. Penting untuk mengetahui bahwa dalam kebanyakan kasus, dokter harus melindungi privasi Anda - itu adalah hukum.
Di BC, layanan rujukan informasi alkohol dan narkoba dapat membantu Anda menemukan informasi tentang opsi perawatan, kelompok pendukung, dan sumber daya lainnya di seluruh provinsi. Ini gratis, rahasia, dan tersedia 24/7. Hubungi Layanan Rujukan Informasi Alkohol dan Obat di 1-800-663-1441 atau 604-660-9382 di Daratan Bawah.",0
Bagaimana saya tahu jika saya minum terlalu banyak?,"Memilah-milah jika Anda minum terlalu banyak bisa rumit. Anda unik dan hubungan Anda dengan alkohol adalah unik. Tidak ada yang memiliki kombinasi pengalaman hidup dan pengaruh yang sama dengan yang Anda lakukan. Jadi meskipun Anda dan teman Anda mungkin memilih untuk minum, bagaimana dan mengapa Anda menggunakan alkohol mungkin berbeda. 
Kita yang minum, mencari manfaat dari alkohol, bukan kesulitan. Tetapi kadang-kadang kita mulai menggunakan lebih banyak, dan lebih sering, daripada yang masuk akal. Sebagai aturan umum, minum alkohol menjadi masalah ketika itu berdampak negatif terhadap kehidupan kita atau kehidupan orang lain. Banyak orang membayangkan ini mengacu pada orang-orang yang mengkonsumsi alkohol - ""setiap hari setiap hari."" tetapi bahkan minum terlalu banyak pada satu kesempatan dapat menyebabkan masalah, misalnya membuat keputusan yang buruk seperti mengemudi saat terganggu. 
Apa yang juga penting untuk dikenali adalah potensi konsekuensi negatif yang terkait dengan minum dalam berbagai konteks (yaitu, tempat, waktu dan kegiatan) dan dari waktu ke waktu (misalnya, mengatasi masalah kronis). Anda bisa mendapatkan umpan balik yang dipersonalisasi terkait dengan pola minum Anda dibandingkan dengan Pedoman Minum Alkohol Berisiko Rendah Kanada melalui aplikasi penyaringan Pemeriksaan Realitas Alkohol. Layar pendek dan sederhana ini dapat digunakan oleh orang-orang dari segala usia. 
Semua penggunaan alkohol melibatkan beberapa risiko. Alasan orang menggunakan alkohol dapat mempengaruhi risiko mereka mengembangkan masalah. Misalnya, jika seseorang menggunakan alkohol untuk meningkatkan perayaan khusus, hanya penggunaan sosial sesekali yang dapat mengikuti. Tetapi ketika seseorang minum untuk mengatasi masalah jangka panjang seperti kecemasan sosial, maka penggunaan yang lebih tahan lama dan intens dapat mengikuti. 
Dengan merenungkan pola minum Anda, Anda dapat mengelola risiko cedera atau kematian segera, peluang Anda untuk konsekuensi kesehatan jangka panjang seperti kanker atau penyakit jantung, dan risiko Anda mengembangkan pola kebiasaan minum yang dapat menyebabkan bahaya ini. 
Setiap kali Anda memutuskan untuk minum alkohol, akan sangat membantu untuk mengetahui langkah_langkah apa yang dapat Anda ambil untuk memastikan bahwa perilaku minum Anda adalah yang paling bermanfaat dan paling tidak berbahaya. Berikut ini adalah beberapa panduan yang berguna untuk dipertimbangkan. 
Tidak terlalu banyak. Mengelola berapa banyak Anda minum pada kesempatan tertentu membantu mengurangi perilaku berisiko. 
Tips: Minum perlahan dan bergantian antara minuman non-alkohol dan alkohol. 
Tidak terlalu sering. Minum secukupnya membantu mengurangi bahaya bagi diri kita sendiri dan orang lain dari waktu ke waktu. 
Tip: Simpan lebih sedikit alkohol di rumah dan tetapkan batas pada berapa banyak Anda akan minum setiap minggu, menghindari minum pada beberapa hari. 
Hanya dalam konteks yang aman. Membuat keputusan berdasarkan informasi tentang di mana Anda minum membantu meminimalkan bahaya terkait alkohol. 
Tip: Jika pergi ke bar, tetaplah bersama kelompok dan pilih tempat yang cukup terang dan dekat dengan pilihan transportasi yang aman. 
Untuk informasi tentang pilihan pengobatan dan sumber daya di seluruh BC, hubungi Layanan Rujukan Informasi Alkohol dan Obat-obatan di 1-800-663-1441. Di Greater Vancouver, hubungi 604-660-9382. 
Untuk lebih memahami bagaimana zat berperan dalam hidup Anda, kunjungi buku kerja Anda dan Penggunaan Zat di situs web HeretoHelp. 
Canadian Institute for Substance Use Research, sebelumnya CARBC, adalah anggota bc partners for Mental Health and Addictions Information. Lembaga ini didedikasikan untuk mempelajari penggunaan zat dalam mendukung upaya masyarakat-lebar yang bertujuan untuk menyediakan semua orang dengan akses ke kehidupan yang lebih sehat, apakah menggunakan zat atau tidak. Untuk informasi lebih lanjut, kunjungi www.cisur.ca.",0
"Saya sering merasa stres, menangis tanpa sebab, dan memiliki keinginan untuk menyakiti diri sendiri, apa benar saya mengalami depresi?","Keluhan yang Anda sampaikan merupakan sejumlah pengalaman yang tidak menyenangkan, dan kami mengerti atas rasa tidak nyaman yang Anda alami. Hal ini dapat dipengaruhi oleh faktor stres, tekanan sosial lingkungan, pola asuh di keluarga, trauma masa kecil, gaya hidup, atau memang adanya kondisi psikiatris yang mendasari, seperti gangguan depresi, gangguan cemas, gangguan psikosomatis, dan lain sebagainya. Untuk menentukan apabila seseorang memiliki gangguan psikiatri seperti gangguan depresi, dibutuhkan evaluasi yang lengkap oleh dokter. Oleh karena itu, terlebih apabila Anda mengalami keluhan seperti ingin menyakiti diri sendiri atau memiliki pemikiran untuk bunuh diri, segera lakukan konsultasi ke psikiater, ya.Psikiater akan melakukan evaluasi lebih lanjut terkait dengan kondisi Anda dan memberikan terapi yang sesuai. Berikut anjuran yang dapat Anda lakukan, seperti:
Melakukan aktivitas yang membuat rileks, seperti yoga, meditasi, dan menulis buku harian.
Menjalani hobi yang Anda sukai.
Apabila muncul impuls untuk menyakiti diri sendiri, alihkan dengan kegiatan lain, seperti meremas kertas, atau segera hubungi sahabat atau kerabat terdekat.
Menjalani gaya hidup yang sehat.
Mengelola stres dengan baik.",2
Bagaimana cara menghadapi situasi quarter-life crisis?,"Quarter life crisis merupakan kondisi di mana seseorang yang berusia 18-30 tahun merasakan hal-hal seperti tidak memiliki arah, khawatir, bingung, dan tertekan oleh banyak tuntutan terutama mengenai kehidupan di masa datang. Hal-hal yang sering dipikirkan mulai dari masalah percintaan, karier, kehidupan sosial, dan masalah finansial. Pada dasarnya, wajar bila seseorang mengalami quarter life crisis ini, sebagaimana pengalaman ini merupakan pengalaman yang dialami oleh banyak orang. Akan tetapi, kita juga perlu menyikapinya dengan bijak untuk mencegah terjadinya stres yang berlebihan. Berikut beberapa saran yang dapat Anda terapkan mengenai kiat untuk menguatkan mental di kala quarter life crisis ini, seperti: Menghindari membandingkan diri dengan orang lain.
Mengubah keraguan yang dimiliki menjadi sebuah tindakan.
Mencari orang-orang yang dapat mendukung dan menginspirasi Anda.
Mencintai diri sendiri.
Menjalani gaya hidup yang sehat dan mengelola stres dengan baik.
Namun, apabila Anda masih merasakan kesulitan dalam menghadapi hal ini, jangan ragu untuk berkonsultasi dengan tenaga profesional seperti psikolog, ya.Psikolog akan melakukan evaluasi lebih lanjut terkait dengan kondisi Anda dan memberikan bantuan yang sesuai, misalnya dengan konseling.",6
"Stres karena selalu diancam dan dipukul oleh keluarga, pola pikir yang berubah, sering berhalusinasi","Sering merasa stres karena selalu diancam dan dipukul oleh keluarga, pola pikir yang berubah, sering berhalusinasi yang negatif merupakan pengalaman yang tidak menyenangkan dan kami mengerti atas rasa tidak nyaman yang Anda miliki. Kondisi ini dapat dipengaruhi oleh banyak faktor, seperti faktor genetik, trauma masa lalu, pola asuh di keluarga, pola hidup, dan adanya kondisi psikiatris yang mendasari, seperti gangguan depresi, gangguan psikosis, gangguan stres pasca trauma, dan sebagainya. Sebaiknya, periksakanlah diri Anda ke psikolog, ya, terutama apabila keluhan yang Anda sampaikan sudah sangat mengganggu Anda dalam beraktivitas sehari-hari dan mengganggu interaksi sosial Anda dengan orang lain. Psikolog akan melakukan evaluasi lebih lanjut terkait dengan kondisi Anda dan memberikan terapi yang sesuai, bisa dengan konseling, psikoterapi perilaku, maupun merujuk ke psikiater apabila dibutuhkan diagnosis dan pengobatan lebih lanjut.",2
"Saya memiliki kebiasaan berbicara sendiri dan merasa ada orang lain, apakah perilaku saya dapat menjadi sebuah gangguan mental? Apa yang harus saya lakukan?","Memiliki kebiasaan berbicara sendiri, merasa ada orang lain, dan adanya peristiwa orang lain merupakan kondisi yang dapat disebabkan oleh beberapa kemungkinan penyebab, seperti:
Deja vu.
Gangguan psikosis.
Maladaptive daydreaming.
Gangguan kepribadian.
Pada prinsipnya, apabila keluhan-keluhan yang Anda sampaikan ini sudah menyebabkan gangguan aktivitas sehari-hari secara signifikan termasuk mengganggu interaksi sosial Anda dengan orang lain, lakukanlah konsultasi ke tenaga profesional seperti psikolog. Psikolog akan melakukan evaluasi lebih lanjut terkait dengan kondisi Anda dan memberikan terapi yang sesuai, misalnya dengan konseling, psikoterapi perilaku, maupun merujuk ke psikiater apabila dibutuhkan penanganan yang lebih lanjut.",1
Berbicara dengan benda mati apakah termasuk ke dalam gangguan jiwa?,"Kesepian dapat dialami oleh siapapun. Merasa kesepian bahkan jauh dari lingkungan sosial dapat berdampak bagi kesehatan baik secara fisik maupun kesehatan mental. Jika hal ini terus menerus terjadi,orang yang terus menerus merasa kesepian lebih mudah merasa lelah, insecure, mengalami gangguan tidur, mengalami kecemasan yang berlebihan, hingga lebih berisiko jatuh ke dalam depresi. Menilik dari apa yang anda sampaikan, perlu diperjelas apakah kondisi anda berbicara dengan benda mati hanya pada 1 benda ataukah bermacam-macam benda.

Sudah berapa lama keluhan ini anda alami? Apakah kondisi anda berbicara dengan benda mati terus menerus dilakukan? Apakah anda menganggap benda mati tersebut sebagai suatu yang nyata seperti teman anda yang menyenangkan untuk diajak berbicara? Tentunya, saat ini kami tidak dapat memastikan kondisi anda secara pasti tanpa dilakukkannya pemeriksaan. Untuk dapat mengetahui kondisi anda saat ini, diperlukan pemeriksaan secara langsung. Terutama, jika keluhan anda saat ini menimbulkan gangguan aktivitas serta orang sekitar anda menganggap hal ini suatu yang tidak wajar.

Saat ini, sebaiknya sapat melakukan pemeriksaan dengan dokter spesialis psikiatri atau psikolog agar dapat diketahui penyebab kondisi anda saat ini serta dapat diberikan penanganan yang sesuai. Sementara itu, beberapa anjuran yang dapat anda lakukan seperti:

Hindari menyendiri terlalu lama
Melakukan beragam aktivitas dan hobi dapat mengobati rasa sepi yang anda alami
Cobalah melakukan kegiatan dimana kegiatan tersebut berbaur dengan banyak orang, seperti bakti sosial, sukarelawan
Anda juga dapat melakukan kumpul dengan keluarga anda
Tuliskan apa yang anda rasakan saat ini dalam sebuah buku catatan
Lakukan olahraga rutin
Menjalani pola hidup sehat
Mengelola stres dengan baik",1
